Date,Closing Price,Return
105/01/04,139.50,0.0
105/01/05,138.00,-0.01075
105/01/06,135.50,-0.01812
105/01/07,133.00,-0.01845
105/01/08,134.00,0.00752
105/01/11,133.00,-0.00746
105/01/12,133.00,0.0
105/01/13,133.50,0.00376
105/01/14,131.50,-0.01498
105/01/15,137.00,0.04183
105/01/18,137.00,0.0
105/01/19,138.00,0.0073
105/01/20,134.50,-0.02536
105/01/21,135.00,0.00372
105/01/22,138.50,0.02593
105/01/25,139.50,0.00722
105/01/26,137.50,-0.01434
105/01/27,139.50,0.01455
105/01/28,140.00,0.00358
105/01/29,143.00,0.02143
105/01/30,142.00,-0.00699
105/02/01,144.00,0.01408
105/02/02,142.50,-0.01042
105/02/03,146.00,0.02456
105/02/15,145.00,-0.00685
105/02/16,147.50,0.01724
105/02/17,148.00,0.00339
105/02/18,151.00,0.02027
105/02/19,151.00,0.0
105/02/22,151.00,0.0
105/02/23,149.50,-0.00993
105/02/24,148.00,-0.01003
105/02/25,150.50,0.01689
105/02/26,149.00,-0.00997
105/03/01,152.00,0.02013
105/03/02,153.00,0.00658
105/03/03,154.00,0.00654
105/03/04,152.50,-0.00974
105/03/07,152.00,-0.00328
105/03/08,152.00,0.0
105/03/09,153.00,0.00658
105/03/10,154.50,0.0098
105/03/11,155.00,0.00324
105/03/14,156.00,0.00645
105/03/15,154.50,-0.00962
105/03/16,156.00,0.00971
105/03/17,158.50,0.01603
105/03/18,159.50,0.00631
105/03/21,160.00,0.00313
105/03/22,158.50,-0.00938
105/03/23,159.50,0.00631
105/03/24,158.50,-0.00627
105/03/25,158.00,-0.00315
105/03/28,159.00,0.00633
105/03/29,159.00,0.0
105/03/30,161.50,0.01572
105/03/31,162.00,0.0031
105/04/01,158.50,-0.0216
105/04/06,153.50,-0.03155
105/04/07,154.50,0.00651
105/04/08,157.50,0.01942
105/04/11,158.50,0.00635
105/04/12,158.50,0.0
105/04/13,161.50,0.01893
105/04/14,161.50,0.0
105/04/15,159.50,-0.01238
105/04/18,158.00,-0.0094
105/04/19,157.50,-0.00316
105/04/20,154.00,-0.02222
105/04/21,157.00,0.01948
105/04/22,156.50,-0.00318
105/04/25,157.50,0.00639
105/04/26,158.00,0.00317
105/04/27,156.50,-0.00949
105/04/28,153.00,-0.02236
105/04/29,150.00,-0.01961
105/05/03,147.50,-0.01667
105/05/04,147.00,-0.00339
105/05/05,147.50,0.0034
105/05/06,148.00,0.00339
105/05/09,147.50,-0.00338
105/05/10,147.00,-0.00339
105/05/11,147.00,0.0
105/05/12,146.00,-0.0068
105/05/13,144.00,-0.0137
105/05/16,144.50,0.00347
105/05/17,147.00,0.0173
105/05/18,147.00,0.0
105/05/19,147.00,0.0
105/05/20,148.50,0.0102
105/05/23,154.00,0.03704
105/05/24,151.00,-0.01948
105/05/25,154.50,0.02318
105/05/26,155.00,0.00324
105/05/27,156.50,0.00968
105/05/30,157.00,0.00319
105/05/31,156.50,-0.00318
105/06/01,159.00,0.01597
105/06/02,159.00,0.0
105/06/03,160.50,0.00943
105/06/04,160.00,-0.00312
105/06/06,161.00,0.00625
105/06/07,162.00,0.00621
105/06/08,165.50,0.0216
105/06/13,162.00,-0.02115
105/06/14,162.00,0.0
105/06/15,163.00,0.00617
105/06/16,160.50,-0.01534
105/06/17,163.00,0.01558
105/06/20,163.00,0.0
105/06/21,165.50,0.01534
105/06/22,166.00,0.00302
105/06/23,164.00,-0.01205
105/06/24,159.00,-0.03049
105/06/27,155.50,-0.02201
105/06/28,157.00,0.00965
105/06/29,159.00,0.01274
105/06/30,162.50,0.02201
105/07/01,166.00,0.02154
105/07/04,166.00,0.0
105/07/05,164.00,-0.01205
105/07/06,161.50,-0.01524
105/07/07,164.50,0.01858
105/07/11,170.00,0.03343
105/07/12,171.00,0.00588
105/07/13,168.50,-0.01462
105/07/14,169.00,0.00297
105/07/15,169.50,0.00296
105/07/18,169.50,0.0
105/07/19,170.50,0.0059
105/07/20,170.00,-0.00293
105/07/21,172.00,0.01176
105/07/22,171.00,-0.00581
105/07/25,171.50,0.00292
105/07/26,173.00,0.00875
105/07/27,175.00,0.01156
105/07/28,176.50,0.00857
105/07/29,172.50,-0.02266
105/08/01,177.00,0.02609
