Date,Price to earning ratio,Price-book ratio
105年01月04日,11.53,3.23
105年01月05日,11.40,3.26
105年01月06日,11.20,3.32
105年01月07日,10.99,3.38
105年01月08日,11.07,3.36
105年01月11日,10.99,3.38
105年01月12日,10.99,3.38
105年01月13日,11.03,3.37
105年01月14日,10.87,3.42
105年01月15日,11.32,3.28
105年01月18日,11.32,3.28
105年01月19日,11.40,3.26
105年01月20日,11.12,3.35
105年01月21日,11.16,3.33
105年01月22日,11.45,3.25
105年01月25日,11.53,3.23
105年01月26日,11.36,3.27
105年01月27日,11.53,3.23
105年01月28日,11.57,3.21
105年01月29日,11.82,3.15
105年01月30日,11.74,3.17
105年02月01日,11.90,3.13
105年02月02日,11.78,3.16
105年02月03日,12.07,4.11
105年02月15日,12.27,4.14
105年02月16日,12.48,4.07
105年02月17日,12.52,4.05
105年02月18日,12.77,3.97
105年02月19日,12.77,3.97
105年02月22日,12.77,3.97
105年02月23日,12.65,4.01
105年02月24日,12.52,4.05
105年02月25日,12.73,3.99
105年02月26日,12.61,4.03
105年03月01日,12.86,3.95
105年03月02日,12.94,3.92
105年03月03日,13.03,3.90
105年03月04日,12.90,3.93
105年03月07日,12.86,3.95
105年03月08日,12.86,3.95
105年03月09日,12.94,3.92
105年03月10日,13.07,3.88
105年03月11日,13.11,3.87
105年03月14日,13.20,3.85
105年03月15日,13.07,3.88
105年03月16日,13.20,3.85
105年03月17日,13.41,3.79
105年03月18日,13.49,3.76
105年03月21日,13.54,3.75
105年03月22日,13.41,3.79
105年03月23日,13.49,3.76
105年03月24日,13.41,3.79
105年03月25日,13.37,3.80
105年03月28日,13.45,3.77
105年03月29日,13.45,3.77
105年03月30日,13.66,3.72
105年03月31日,13.71,3.70
105年04月01日,13.41,3.79
105年04月06日,12.99,3.91
105年04月07日,13.07,3.88
105年04月08日,13.32,3.81
105年04月11日,13.41,3.79
105年04月12日,13.41,3.79
105年04月13日,13.66,3.72
105年04月14日,13.66,3.72
105年04月15日,13.49,3.76
105年04月18日,13.37,3.80
105年04月19日,13.32,3.81
105年04月20日,13.03,3.90
105年04月21日,13.28,3.82
105年04月22日,13.24,3.83
105年04月25日,13.32,3.81
105年04月26日,13.37,3.80
105年04月27日,13.24,3.83
105年04月28日,12.94,3.92
105年04月29日,12.69,4.00
105年05月03日,12.48,4.07
105年05月04日,12.44,4.08
105年05月05日,12.48,4.07
105年05月06日,12.52,4.05
105年05月09日,12.48,4.07
105年05月10日,12.44,4.08
105年05月11日,13.04,4.08
105年05月12日,12.95,4.11
105年05月13日,12.78,4.17
105年05月16日,12.82,4.15
105年05月17日,13.04,4.08
105年05月18日,13.04,4.08
